Station,Location,Day,Time,Count
Location 1: Regents Drive @ Route 1,Sidewalk,3,9,5
Location 1: Regents Drive @ Route 1,Sidewalk,3,10,12
Location 1: Regents Drive @ Route 1,Sidewalk,3,11,4
Location 1: Regents Drive @ Route 1,Sidewalk,3,12,20
Location 1: Regents Drive @ Route 1,Sidewalk,3,13,8
Location 1: Regents Drive @ Route 1,Sidewalk,3,15,3
Location 1: Regents Drive @ Route 1,Sidewalk,3,16,21
Location 1: Regents Drive @ Route 1,Sidewalk,3,17,11
Location 1: Regents Drive @ Route 1,Sidewalk,3,18,24
Location 1: Regents Drive @ Route 1,Sidewalk,4,8,2
Location 1: Regents Drive @ Route 1,Sidewalk,4,9,6
Location 1: Regents Drive @ Route 1,Sidewalk,4,10,6
Location 1: Regents Drive @ Route 1,Sidewalk,4,11,1
Location 1: Regents Drive @ Route 1,Sidewalk,4,12,9
Location 1: Regents Drive @ Route 1,Sidewalk,4,13,3
Location 1: Regents Drive @ Route 1,Sidewalk,4,16,6
Location 1: Regents Drive @ Route 1,Sidewalk,4,17,7
Location 1: Regents Drive @ Route 1,Sidewalk,4,18,5
Location 1: Regents Drive @ Route 1,Street,3,9,1
Location 1: Regents Drive @ Route 1,Street,3,10,8
Location 1: Regents Drive @ Route 1,Street,3,12,8
Location 1: Regents Drive @ Route 1,Street,3,13,9
Location 1: Regents Drive @ Route 1,Street,3,14,1
Location 1: Regents Drive @ Route 1,Street,3,15,1
Location 1: Regents Drive @ Route 1,Street,3,16,6
Location 1: Regents Drive @ Route 1,Street,3,17,9
Location 1: Regents Drive @ Route 1,Street,3,18,8
Location 1: Regents Drive @ Route 1,Street,4,8,3
Location 1: Regents Drive @ Route 1,Street,4,9,6
Location 1: Regents Drive @ Route 1,Street,4,10,4
Location 1: Regents Drive @ Route 1,Street,4,12,1
Location 1: Regents Drive @ Route 1,Street,4,16,1
Location 1: Regents Drive @ Route 1,Street,4,17,9
Location 1: Regents Drive @ Route 1,Street,4,18,9
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,13,1
