Id,Station,Gender,Helmet,Location,Comments,CreatedDate,Column1,Column2,Column3,,Time
3,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:35:17 AM,8
4,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:35:55 AM,8
5,Location 5: Campus Drive at Paint Branch Drive,Female,TRUE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:36:38 AM,8
6,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:37:56 AM,8
7,Location 5: Campus Drive at Paint Branch Drive,Male,TRUE,Street,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:44:15 AM,8
8,Location 5: Campus Drive at Paint Branch Drive,Female,TRUE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:46:47 AM,8
9,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:48:22 AM,8
10,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Street,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:49:37 AM,8
11,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:50:04 AM,8
12,Location 5: Campus Drive at Paint Branch Drive,Male,TRUE,Street,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:50:14 AM,8
13,Location 5: Campus Drive at Paint Branch Drive,Female,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:51:18 AM,8
14,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:52:08 AM,8
15,Location 5: Campus Drive at Paint Branch Drive,Male,TRUE,Street,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:53:02 AM,8
16,Location 5: Campus Drive at Paint Branch Drive,Female,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:54:24 AM,8
17,Location 5: Campus Drive at Paint Branch Drive,Female,TRUE,Street,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:56:54 AM,8
18,Location 5: Campus Drive at Paint Branch Drive,Female,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:57:50 AM,8
19,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:57:54 AM,8
20,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,8:58:41 AM,8
21,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:03:24 AM,9
22,Location 5: Campus Drive at Paint Branch Drive,Male,TRUE,Street,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:10:37 AM,9
23,Location 5: Campus Drive at Paint Branch Drive,Male,TRUE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:10:59 AM,9
24,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:11:10 AM,9
25,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Street,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:14:08 AM,9
26,Location 5: Campus Drive at Paint Branch Drive,Female,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:14:42 AM,9
27,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:16:16 AM,9
28,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:16:52 AM,9
