Station,Station,Helmet,Location,Column3,Time
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Street,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Street,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Street,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Street,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Street,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,8
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Street,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Street,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Street,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Street,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,TRUE,Street,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Sidewalk,3,9
Location 5: Campus Drive at Paint Branch Drive,Location 5: Campus Drive at Paint Branch Drive,FALSE,Street,3,9
Location 1: Regents Drive @ Route 1,Location 1: Regents Drive @ Route 1,TRUE,Sidewalk,3,9
Location 1: Regents Drive @ Route 1,Location 1: Regents Drive @ Route 1,TRUE,Sidewalk,3,9
Location 1: Regents Drive @ Route 1,Location 1: Regents Drive @ Route 1,TRUE,Street,3,9
Location 1: Regents Drive @ Route 1,Location 1: Regents Drive @ Route 1,FALSE,Sidewalk,3,9
Location 1: Regents Drive @ Route 1,Location 1: Regents Drive @ Route 1,TRUE,Sidewalk,3,9
Location 1: Regents Drive @ Route 1,Location 1: Regents Drive @ Route 1,TRUE,Sidewalk,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,8
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,TRUE,Street,3,8
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,TRUE,Street,3,8
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Sidewalk,3,8
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,TRUE,Street,3,8
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,8
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,8
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,TRUE,Street,3,8
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,8
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,8
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Sidewalk,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Sidewalk,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Sidewalk,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Sidewalk,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,TRUE,Sidewalk,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,TRUE,Street,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Sidewalk,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,TRUE,Street,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,TRUE,Street,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Sidewalk,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,TRUE,Street,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,9
Location 4: Regents Drive at Main Administration,Location 4: Regents Drive at Main Administration,FALSE,Street,3,9
